antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,conf_rule
UHT-milk,beef,0.07850179579271421,0.11954848640328374,0.01051821446895844,0.13398692810457516,1.12077477629106,0.0011334436019997882,1.0166723138135667,0.11694008365473403
beef,UHT-milk,0.11954848640328374,0.07850179579271421,0.01051821446895844,0.08798283261802574,1.1207747762910598,0.0011334436019997882,1.01039567802493,0.1223918358064699
UHT-milk,bottled beer,0.07850179579271421,0.15879938429964083,0.014879425346331451,0.1895424836601307,1.1935970941957827,0.002413388508032299,1.0379330177593142,0.17601374702403808
bottled beer,UHT-milk,0.15879938429964083,0.07850179579271421,0.014879425346331451,0.09369951534733441,1.1935970941957827,0.002413388508032299,1.01676896328754,0.19281530323584778
UHT-milk,bottled water,0.07850179579271421,0.21369933299127758,0.02129297075423294,0.2712418300653595,1.2692684917104098,0.004517189354712434,1.0789596596621933,0.23021708213701136
bottled water,UHT-milk,0.21369933299127758,0.07850179579271421,0.02129297075423294,0.09963985594237695,1.2692684917104098,0.004517189354712434,1.0234773388062255,0.2698009001749249
brown bread,UHT-milk,0.13596716264751155,0.07850179579271421,0.012314007183170857,0.09056603773584905,1.153681095079541,0.0016403407465011462,1.0132656602279284,0.15417161520190023
UHT-milk,brown bread,0.07850179579271421,0.13596716264751155,0.012314007183170857,0.1568627450980392,1.1536810950795413,0.0016403407465011462,1.0247831326738817,0.1445573496659243
UHT-milk,butter,0.07850179579271421,0.12647511544381734,0.01051821446895844,0.13398692810457516,1.059393601930292,0.0005896907835279356,1.00867401763846,0.06083980661632896
butter,UHT-milk,0.12647511544381734,0.07850179579271421,0.01051821446895844,0.08316430020283976,1.059393601930292,0.0005896907835279356,1.0050854306951147,0.06418108233945774
UHT-milk,canned beer,0.07850179579271421,0.16521292970754234,0.014879425346331451,0.1895424836601307,1.1472618032720334,0.0019099136761139158,1.03001953028021,0.1392942170340219
canned beer,UHT-milk,0.16521292970754234,0.07850179579271421,0.014879425346331451,0.09006211180124223,1.1472618032720334,0.0019099136761139158,1.0127045111083481,0.15376300786300143
UHT-milk,chicken,0.07850179579271421,0.10056439199589533,0.01051821446895844,0.13398692810457516,1.3323496065092704,0.0026237291044782004,1.0385935699971927,0.27069639850073324
chicken,UHT-milk,0.10056439199589533,0.07850179579271421,0.01051821446895844,0.10459183673469387,1.3323496065092701,0.0026237291044782004,1.029137595581926,0.2773364128393137
UHT-milk,citrus fruit,0.07850179579271421,0.18547973319651104,0.013083632632119035,0.16666666666666666,0.8985707699400645,-0.0014768595069605886,0.9774243201641868,-0.1091269841269841
citrus fruit,UHT-milk,0.18547973319651104,0.07850179579271421,0.013083632632119035,0.07053941908713693,0.8985707699400646,-0.0014768595069605886,0.9914333357765887,-0.12171507607192251
UHT-milk,coffee,0.07850179579271421,0.11493073370959467,0.012827090815802977,0.16339869281045752,1.4217145191409897,0.0038048218278255597,1.0579343573627502,0.3218930957683741
coffee,UHT-milk,0.11493073370959467,0.07850179579271421,0.012827090815802977,0.11160714285714286,1.42171451914099,0.0038048218278255597,1.0372643102634775,0.33514202898550716
UHT-milk,cream cheese ,0.07850179579271421,0.08850692662904053,0.01051821446895844,0.13398692810457516,1.5138581036279246,0.00357026178848476,1.0525165300057115,0.3683524363083274
cream cheese ,UHT-milk,0.08850692662904053,0.07850179579271421,0.01051821446895844,0.11884057971014493,1.5138581036279246,0.00357026178848476,1.0457792120115579,0.3723957081957535
UHT-milk,curd,0.07850179579271421,0.12083119548486403,0.013596716264751155,0.17320261437908496,1.4334263075364613,0.004111250431408827,1.0633425066467654,0.3281295961675842
curd,UHT-milk,0.12083119548486403,0.07850179579271421,0.013596716264751155,0.11252653927813165,1.4334263075364613,0.004111250431408827,1.0383388856019895,0.34392807395213376
UHT-milk,domestic eggs,0.07850179579271421,0.1331452026680349,0.013083632632119035,0.16666666666666666,1.251766217084136,0.002631495121493412,1.0402257567983582,0.21826280623608008
domestic eggs,UHT-milk,0.1331452026680349,0.07850179579271421,0.013083632632119035,0.09826589595375722,1.2517662170841362,0.002631495121493412,1.0219178803067976,0.2320213080793133
frankfurter,UHT-milk,0.1375064135454079,0.07850179579271421,0.015135967162647512,0.11007462686567164,1.402192469027412,0.0043414667663173884,1.0354780659436167,0.3325603202290807
UHT-milk,frankfurter,0.07850179579271421,0.1375064135454079,0.015135967162647512,0.19281045751633988,1.402192469027412,0.0043414667663173884,1.0685143216805877,0.3112660903703144
UHT-milk,frozen vegetables,0.07850179579271421,0.10261672652642381,0.011287839917906618,0.1437908496732026,1.4012418300653593,0.0032322426072124953,1.048088861385169,0.31074104069649705
frozen vegetables,UHT-milk,0.10261672652642381,0.07850179579271421,0.011287839917906618,0.10999999999999999,1.4012418300653593,0.0032322426072124953,1.0353912406823436,0.31909142886844416
UHT-milk,fruit/vegetable juice,0.07850179579271421,0.12493586454592098,0.011287839917906618,0.1437908496732026,1.150917314222061,0.001480150192136525,1.0220214711791915,0.14229854221502317
fruit/vegetable juice,UHT-milk,0.12493586454592098,0.07850179579271421,0.011287839917906618,0.09034907597535934,1.150917314222061,0.001480150192136525,1.0130239852120726,0.14984941765944396
margarine,UHT-milk,0.11698306824012314,0.07850179579271421,0.011800923550538737,0.10087719298245613,1.2850303864235753,0.002617542616347439,1.024885807606152,0.25119369426268845
UHT-milk,margarine,0.07850179579271421,0.11698306824012314,0.011800923550538737,0.1503267973856209,1.2850303864235753,0.002617542616347439,1.0392430043020089,0.24070397985862296
newspapers,UHT-milk,0.13981528989225245,0.07850179579271421,0.0107747562852745,0.07706422018348623,0.9816873538406187,-0.0002009950505462415,0.9984423882564031,-0.021226021684737376
UHT-milk,newspapers,0.07850179579271421,0.13981528989225245,0.0107747562852745,0.13725490196078433,0.9816873538406188,-0.0002009950505462415,0.9970322776248891,-0.019841733910263996
UHT-milk,other vegetables,0.07850179579271421,0.3766033863519754,0.038994356080041044,0.4967320261437908,1.318979181136578,0.009430313949793618,1.2386971673785425,0.2624399249794865
other vegetables,UHT-milk,0.3766033863519754,0.07850179579271421,0.038994356080041044,0.10354223433242506,1.318979181136578,0.009430313949793618,1.0279326472464252,0.3879358891054796
pastry,UHT-milk,0.1775269368907132,0.07850179579271421,0.014366341713699333,0.08092485549132948,1.0308662964222297,0.00043015836619850374,1.0026364108670467,0.036404954995098535
UHT-milk,pastry,0.07850179579271421,0.1775269368907132,0.014366341713699333,0.18300653594771243,1.03086629642223,0.00043015836619850374,1.0067070292457672,0.032492841234489395
UHT-milk,pip fruit,0.07850179579271421,0.17060030785017957,0.01718830169317599,0.21895424836601307,1.28343407538454,0.003795871164147013,1.0619092292796863,0.23965362497091391
pip fruit,UHT-milk,0.17060030785017957,0.07850179579271421,0.01718830169317599,0.10075187969924813,1.28343407538454,0.003795871164147013,1.0247429862840218,0.2662653327855004
UHT-milk,pork,0.07850179579271421,0.13237557721908672,0.0107747562852745,0.13725490196078433,1.0368597051223591,0.0003830357544790837,1.005655580950604,0.0385777919185492
pork,UHT-milk,0.13237557721908672,0.07850179579271421,0.0107747562852745,0.08139534883720931,1.0368597051223591,0.0003830357544790837,1.0031499438205895,0.0409732195657684
UHT-milk,rolls/buns,0.07850179579271421,0.3496664956387891,0.0310415597742432,0.3954248366013072,1.1308628122317648,0.0035921119380529845,1.0756867693758405,0.12557750004601598
rolls/buns,UHT-milk,0.3496664956387891,0.07850179579271421,0.0310415597742432,0.08877476155539252,1.1308628122317648,0.0035921119380529845,1.0112737941501857,0.17793861150504514
UHT-milk,root vegetables,0.07850179579271421,0.23063109286813752,0.02103642893791688,0.2679738562091503,1.161915563407417,0.0029314739821318415,1.051012882064062,0.15122358628931495
root vegetables,UHT-milk,0.23063109286813752,0.07850179579271421,0.02103642893791688,0.09121245828698553,1.161915563407417,0.0029314739821318415,1.0139863960616278,0.1811254157890028
sausage,UHT-milk,0.2060030785017958,0.07850179579271421,0.018471010774756286,0.0896637608966376,1.1421873855395208,0.0022993991735378375,1.0122613652235986,0.15678513731825527
UHT-milk,sausage,0.07850179579271421,0.2060030785017958,0.018471010774756286,0.23529411764705885,1.142187385539521,0.0022993991735378375,1.0383036665745748,0.1350918708240535
UHT-milk,shopping bags,0.07850179579271421,0.16829143150333503,0.016675218060543867,0.21241830065359474,1.2622050852861468,0.0034640384710055098,1.0560283068878815,0.22543258523213983
shopping bags,UHT-milk,0.16829143150333503,0.07850179579271421,0.016675218060543867,0.09908536585365854,1.262205085286147,0.0034640384710055098,1.0228474144838908,0.249769847672377
UHT-milk,soda,0.07850179579271421,0.3134940995382247,0.02744997434581837,0.34967320261437906,1.1154060096488132,0.0028401245616478284,1.055632188649765,0.11227962450304939
soda,UHT-milk,0.3134940995382247,0.07850179579271421,0.02744997434581837,0.08756137479541735,1.1154060096488132,0.0028401245616478284,1.0099289735796442,0.15071315815207523
UHT-milk,tropical fruit,0.07850179579271421,0.2337095946639302,0.021549512570549,0.27450980392156865,1.174576526549149,0.003202889695443141,1.0562381262740421,0.16129096404708892
tropical fruit,UHT-milk,0.2337095946639302,0.07850179579271421,0.021549512570549,0.09220636663007685,1.1745765265491488,0.003202889695443141,1.0150965707773125,0.19395953895451737
UHT-milk,whipped/sour cream,0.07850179579271421,0.15469471523858389,0.013853258081067214,0.17647058823529413,1.1407667544629794,0.0017094451351958254,1.0264421314960053,0.13390868596881955
whipped/sour cream,UHT-milk,0.15469471523858389,0.07850179579271421,0.013853258081067214,0.08955223880597016,1.1407667544629794,0.0017094451351958254,1.012137371834232,0.14597875569044
whole milk,UHT-milk,0.4581836839404823,0.07850179579271421,0.040533606977937404,0.08846584546472565,1.1269276654297404,0.0045653649856881515,1.0109310766057817,0.2078778289221327
UHT-milk,whole milk,0.07850179579271421,0.4581836839404823,0.040533606977937404,0.5163398692810458,1.1269276654297404,0.0045653649856881515,1.1202418426635976,0.12222660765132079
UHT-milk,yogurt,0.07850179579271421,0.28296562339661363,0.023345305284761416,0.2973856209150327,1.0509602450832252,0.0011319957005223764,1.0205233453052849,0.052619985804841035
