,Member_number,Date,itemDescription,year,month,day,day_of_week,ItemId,Value,Value Discount,ItensAvail.,Age,Lifetime Cross Sell Itens,GMV Lifetime,Orders,Time since Last Order,Vendors Seen Last 4 Weeks
0,1808,2015-07-21,tropicalfruit,2015,7,21,1,1376,"9,00","2,00",15,41,15,85,13,74,13
1,2552,2015-05-01,wholemilk,2015,5,1,4,5497,"4,00","2,00",9,23,3,223,25,51,2
2,2300,2015-09-19,pipfruit,2015,9,19,5,4936,"17,00","1,00",11,56,10,126,20,68,9
3,1187,2015-12-12,othervegetables,2015,12,12,5,2738,"15,00","0,00",12,54,7,173,24,62,16
4,3037,2015-01-02,wholemilk,2015,1,2,4,5497,"4,00","2,00",9,21,8,83,15,26,3
5,4941,2015-02-14,rolls/buns,2015,2,14,5,6555,"17,00","1,00",11,26,13,148,15,7,8
6,4501,2015-08-05,othervegetables,2015,8,5,2,2738,"15,00","0,00",12,50,12,197,23,58,16
7,3803,2015-12-23,potplants,2015,12,23,2,2675,"11,00","1,00",14,28,14,165,11,92,8
8,2762,2015-03-20,wholemilk,2015,3,20,4,5497,"4,00","2,00",9,60,5,25,1,77,15
9,4119,2015-12-02,tropicalfruit,2015,12,2,2,1376,"9,00","2,00",15,27,2,203,21,46,1
10,1340,2015-02-24,citrusfruit,2015,2,24,1,9978,"12,00","0,00",13,49,18,123,21,28,7
11,2193,2015-04-14,beef,2015,4,14,1,3178,"7,00","2,00",9,39,15,68,11,22,13
12,1997,2015-07-21,frankfurter,2015,7,21,1,9589,"15,00","2,00",13,40,3,166,7,9,16
13,4546,2015-03-09,chicken,2015,3,9,0,5090,"14,00","1,00",8,41,3,206,1,1,5
14,4736,2015-07-21,butter,2015,7,21,1,1941,"18,00","1,00",13,33,16,96,7,80,9
15,1959,2015-03-30,fruit/vegetablejuice,2015,3,30,0,5361,"9,00","2,00",15,53,17,184,7,10,12
